saturation,avg_time_before,avg_time_after,time_improvement,unassigned_before,unassigned_after,unassigned_improvement
0.5,3.1763668609414455,2.6333223431553785,17.096404211480586,90,90,0.0
0.5,4.988344182288645,3.5558597273855503,28.716632264253125,94,94,0.0
0.5,6.16292525554777,4.457467728230022,27.672857557091433,89,89,0.0
0.5,6.605438524736089,4.623604707368045,30.00306202149122,85,85,0.0
0.5,6.296556784820751,5.037015461442422,20.00365225665451,97,97,0.0
0.5,4.955131047173349,3.676223382911857,25.80976470826224,103,103,0.0
0.5,4.94064854014244,4.00018311061931,19.03526271666383,101,101,0.0
0.5,4.9802943655136405,3.469876232040409,30.32788872746592,106,107,-0.9433962264150944
0.5,7.193861810643064,5.0549472405478655,29.73249454042542,100,100,0.0
0.5,4.659483837670309,3.299011515589608,29.197919114597084,106,106,0.0
0.5,4.01053194972295,2.483765491521132,38.06892645020041,112,112,0.0
0.5,3.656119645440749,3.1563025163948235,13.670699471479473,114,114,0.0
0.5,5.081845723198546,3.804318689199701,25.139036160955335,99,100,-1.0101010101010102
0.5,4.964561383735607,3.6301307109278436,26.87912525725817,96,97,-1.0416666666666667
0.5,4.12264002033372,3.0855891877720003,25.15501783921877,104,104,0.0
0.5,4.1502501142315005,3.103617255540932,25.218549000254,86,86,0.0
0.5,3.7973686434559752,2.2893242713438746,39.712877882186156,82,82,0.0
0.5,4.435442091782249,3.4469756454004945,22.285635251853073,100,100,0.0
0.5,4.220086015398165,3.442219512823642,18.432479805773134,101,101,0.0
0.5,4.477966631287135,3.2992508181345355,26.32256803605954,104,104,0.0
