lat,lng
-12.10315285881915,-77.05201953649521
-11.990778530941014,-77.07081109285355
-12.111405910913952,-76.99184149503708
-12.04872986080698,-77.0358458161354
-12.1995052142491,-76.9553741812706
-12.11109920965368,-77.03747123479843
-12.08094616674218,-77.08824545145035
-12.07178314975117,-77.0116737484932
-12.053322775547706,-76.96388751268387
-12.114609798459362,-77.01499968767166
-12.140547600082876,-77.01671093702316
-12.107241364049166,-77.02313750982285
-12.074989572017735,-76.97861820459366
-12.044593195874945,-77.04276591539383
-12.09061105852274,-77.0524325966835
-12.077676376446632,-77.084581553936
-12.085034671972188,-76.98540955781937
-12.074865370680925,-77.0007786154747
-11.94566809846826,-77.05420821905136
-12.067552700136233,-77.10341602563858
-12.118850386958933,-77.02299267053604
-12.110052369814873,-77.03745514154434
-12.140370169601717,-77.02198952436447
-12.121739969080586,-77.0112070441246
-12.113418479514472,-76.98439568281174
-12.088740434307148,-77.03066915273666
-12.129937257309884,-77.02469855546951
-11.991140996066797,-77.07162111997604
-12.10120365824762,-76.9710060954094
-12.0896656075303,-77.02841609716415
-12.126877848870556,-77.00967818498611
-12.107933342925662,-77.00810104608536
-12.10938573814996,-76.9749167561531
-12.11785931098563,-76.99740439653397
-12.126639585081584,-77.01378732919693
-11.984167978157458,-77.07205563783646
-12.135424928619848,-77.01632469892502
-12.076867800396805,-77.08408266305923
-12.110039696209071,-77.03748732805252
-12.073666447572556,-76.93666309118271
-12.182094214605605,-76.96469217538834
-12.077450786263448,-77.08732277154922
-12.08673040042779,-76.9764992594719
-12.080208562884813,-77.07607358694077
-12.09567289667794,-76.96335643529892
-11.993158634109633,-77.05886453390121
-12.089670676972624,-77.03999251127243
-12.094210362569001,-77.04719692468643
-11.937521504662143,-77.06404119729996
-12.107608898617265,-77.05378443002701
-12.075980647991038,-77.03581362962723
-12.106975218327428,-77.03981012105942
-12.068358741464898,-77.05510407686234
-12.1428465921744,-76.99026435613632
-12.135300727283045,-77.02548176050186
-12.123070697689236,-77.03624814748764
-12.086760817081704,-76.9768962264061
-12.142088710547753,-76.99571996927261
-12.115953200673808,-77.019924223423
-12.084788804019738,-77.06670731306076
-12.048848992701473,-76.97889715433121
-12.088038316546012,-77.05643981695175
-11.987404817077937,-77.10680097341537
-12.070247108728616,-77.06234067678452
-12.063007945097539,-77.08229631185532
-12.042798613294131,-76.93069249391556
-12.022510705134785,-77.10573345422745
-12.115213062095286,-77.01455980539322
-12.1258969117819,-77.01815396547318
-12.02743313362621,-77.05343574285507
-12.007619218323661,-77.05930441617966
-12.10905115495693,-76.97067886590958
-12.124839933058453,-77.02407628297806
-12.056899267103532,-76.97038918733597
-12.137272740345004,-77.02246159315109
-12.000919950299526,-76.8835499882698
-12.082887763150232,-77.01459735631943
-12.04973614510724,-77.1145310997963
-12.067636345934496,-77.0628771185875
-12.127582501352855,-76.98788791894913
-12.142192634115283,-77.01539665460587
-12.086814046226046,-76.97688549757004
-12.05667621164151,-77.03728884458542
-12.12846204959515,-76.98484629392624
-12.081197104136955,-77.0997628569603
-12.072685510483893,-77.00606256723404
-12.181267895507652,-76.96550220251083
-12.088210677584847,-77.0036432147026
-12.12304535047764,-77.02680677175522
-12.057989197202048,-77.03784674406052
-11.993886099082367,-77.0618686079979
-12.063337458848252,-77.10673123598099
-12.114642749834431,-77.03634470701218
-12.130986631869852,-76.98022216558456
-12.040421044846674,-76.96261078119278
-12.142248397980786,-76.97197705507278
-12.102836018674232,-77.05155283212662
