lat,lng,orders
-12.088979,-77.007968,1
-12.121698,-77.032086,1
-12.1310897,-76.983338,1
-12.053484349545,-77.03594232369,1
-12.071404986602,-77.062033105303,1
-12.11502,-77.046186,1
-11.9622444,-77.0942246,1
-12.076506627148,-77.083778198742,1
-12.085822836948,-76.913393773683,1
-12.090413,-77.052338,1
-12.1489667,-76.9865058,1
-12.117835,-77.035067,1
-12.113188,-76.992227,1
-11.9302062,-77.0833593,1
-12.098229,-77.056236,1
-12.077266107648,-77.084266517124,1
-12.101955,-76.971726,1
-11.9861663,-77.064068,1
-12.1208654,-77.0108455,1
-12.0734318,-77.0562225,1
-12.1204187,-77.0028624,1
-12.08915327,-77.03279223,1
-12.086315,-77.047186,1
-12.1220333,-77.0256249,1
-12.113509772475,-77.046745417986,1
-12.080072,-77.034899,1
-12.056707235902,-77.101671449703,1
-12.103494,-77.058137,1
-12.051642,-77.033783,1
-12.077,-77.0627,1
-12.090545,-77.057549,1
-12.0922976,-77.0623939,1
-12.110061,-77.037423,1
-12.0658153,-76.9447938,1
-12.062503255858,-76.945505006951,1
-12.08951,-77.004724,1
-12.0710314,-76.9418501,1
-12.125573,-77.0212946,1
-12.132395613073,-77.028526905359,1
-12.048337372919,-76.964117847383,1
-12.130652,-76.980609,1
-12.0681677,-77.0604052,1
-12.0772013,-77.0325018,1
-12.0854675,-77.0288104,1
-12.111483,-76.992882,1
-12.075607212424,-77.034516171824,1
-12.075806,-77.0837366,1
-12.089966048584,-77.010603319034,1
-12.1234611,-76.9855027,1
-12.0868574,-77.0322477,1
-12.0916725,-77.0396572,1
-12.12117744428,-77.030580791996,1
-11.9917938,-77.0627119,1
-12.117188,-77.027372,1
